index,county,latitude,longitude,service category,project type,parts,material,connector,equipment,land use,stakeholder,service provider,budget,construction area,load,KPI,construction period
train_0,Riverside,33.646083000000004,-116.275297,T,Landscaping,line,Plastic,PPE,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Dedicated Public Utility Easement,Contractor - 3rd Party,Other,49899,36.85,3,,54
train_1,Los Angeles,34.066964,-117.93700700000001,T,Cable Television,line,Plastic,MPL,Boring Equipment (BE),Private Easement,Contractor - 3rd Party,Utility Owner,56795,17.41,2,908.7139341246678,26
train_2,Los Angeles,34.197454,-118.488978,T,Telecommunications,line,Plastic,MPL,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Public City Street,Contractor - 3rd Party,Utility Owner,60140,20.2,3,782.0437577150357,61
train_3,Orange,33.808265999999996,-117.92365500000001,T,Electric,line,Plastic,MPL,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Public City Street,Contractor - 3rd Party,Utility Owner,56510,5.42,2,,56
train_4,Los Angeles,34.194489000000004,-118.138263,T,Fencing,line,Plastic,PLM,"Miscellaneous/Other including items not specifically mentioned in picklist and all powered hand tools (jackhammer, electric saw, etc.) (MO)",Private Land Owner,Contractor - 3rd Party,Unknown,56401,14.6,2,848.0757290748079,27
train_5,Orange,33.645736,-117.685503,T,Drainage,line,Plastic,PPE,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Private Land Owner,Contractor - 3rd Party,Unknown,62619,13.17,2,1130.986972615963,46
train_6,Los Angeles,33.921279999999996,-118.27418600000001,T,Irrigation,line,Plastic,PPE,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Utility Owner,23705,8.25,2,705.5824099791057,52
train_7,Los Angeles,33.942708,-117.952483,T,Pole,line,Plastic,MPL,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Dedicated Public Utility Easement,Contractor - 3rd Party,Utility Owner,98461,16.92,2,1208.9372847732836,31
train_8,Los Angeles,34.179642,-117.77431100000001,T,Fencing,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Occupant,Utility Owner,38446,19.72,2,1273.5153068557295,51
train_9,Los Angeles,34.13658,-118.24583899999999,T,Landscaping,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Other,40851,9.56,2,1124.5534485970688,53
