index,county,latitude,longitude,service category,project type,parts,material,connector,equipment,land use,stakeholder,service provider,budget,construction area,load,KPI
test_0,Los Angeles,34.080017,-118.262643,T,Water Pipeline,line,Plastic,MPL,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Public City Street,Municipality,Utility Owner,86989,13.47,2,704.98830592617
test_1,Kern,35.652242,-119.4464,T,Natural Gas Pipeline,main,Steel (ST),MPL,Boring Equipment (BE),Public City Street,Contractor - 3rd Party,Contract Locator,35950,312.86,4,978.0059048444141
test_2,Los Angeles,34.018195,-117.854821,T,Water Pipeline,main,Plastic,PPE,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Private Land Owner,Contractor - 3rd Party,Utility Owner,55286,20.19,4,1084.5251301679828
test_3,San Diego,32.856347,-117.250058,TG,Electric,line,PE,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Unknown,57775,13.39,2,
test_4,San Luis Obispo,35.465349,-120.689439,T,Irrigation,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Utility Owner,32424,58.96,2,532.4030381541098
test_5,Orange,33.763931,-117.93145,T,Grading,line,Steel (ST),PP,"Grader/Scraper including graders, scrapers, bobcats, skiploaders, similar equipment (GR)",Public City Street,Contractor - 3rd Party,Utility Owner,56982,4.25,7,744.1710013967622
test_6,Los Angeles,34.102077,-118.057754,T,Water Pipeline,line,Polyethylene (PE),PP,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Public City Street,Contractor - 3rd Party,Utility Owner,42133,7.68,2,490.1506227257064
test_7,Los Angeles,34.204568,-118.326365,T,Site Development,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Utility Owner,33242,14.23,3,924.2067354001688
test_8,Los Angeles,34.222119,-118.205306,T,Water Pipeline,line,Plastic,PLM,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Private Land Owner,Contractor - 3rd Party,Utility Owner,18916,15.75,2,1067.722149956263
test_9,Riverside,33.996523,-117.374179,T,Drainage,line,Steel (ST),PP,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Public City Street,Contractor - 3rd Party,Unknown,30092,12.04,7,619.2246372820038
test_10,Los Angeles,33.9076,-118.082645,T,Sewer (Sanitary/Storm),line,Plastic,PLM,"Miscellaneous/Other including items not specifically mentioned in picklist and all powered hand tools (jackhammer, electric saw, etc.) (MO)",Private Land Owner,Contractor - 3rd Party,Unknown,88838,7.68,2,845.9665357637206
test_11,Riverside,34.003266,-117.442004,T,Water Pipeline,line,Plastic,PPE,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Unknown\Other,Contractor - 3rd Party,Unknown,83419,35.42,2,1158.7374466887507
test_12,Kern,35.393475,-119.120453,T,Fencing,valve,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Other,82462,18.81,3,
test_13,Los Angeles,33.937886,-118.358559,T,Natural Gas Pipeline,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Occupant,Unknown,35062,7.75,2,635.7295752774812
test_14,Riverside,33.708982,-117.198853,T,Irrigation,line,Plastic,PPE,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Private Land Owner,Contractor - 3rd Party,Utility Owner,26267,12.49,3,1093.7260131226728
test_15,Los Angeles,34.199824,-118.447609,T,Curb/Sidewalk,line,Plastic,PP,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Public City Street,Contractor - 3rd Party,Utility Owner,69477,6.11,2,574.5901640272148
test_16,Los Angeles,33.902045,-118.008961,T,Road Work,line,Plastic,PP,"Trencher, ditchwitch, rockwheel, similar equipment (TR)",Public City Street,Contractor - 3rd Party,Utility Owner,47254,9.41,4,655.0109212924233
test_17,Riverside,33.796904999999995,-116.929217,T,Telecommunications,line,Plastic,PPE,,Private Land Owner,Contractor - 3rd Party,Utility Owner,41040,43.89,2,736.6441785649283
test_18,San Luis Obispo,35.23575,-120.615973,T,Telecommunications,line,Plastic,PLM,Boring Equipment (BE),Private Business,Contractor - 3rd Party,Utility Owner,32063,68.29,2,855.187059285775
test_19,Los Angeles,34.052913000000004,-118.26434,T,Telecommunications,line,Plastic,MPL,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Public City Street,Contractor - 3rd Party,Utility Owner,30977,8.28,3,1022.1030243689188
test_20,Los Angeles,33.940445000000004,-118.129022,T,Sewer (Sanitary/Storm),line,Plastic,PLM,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Private Easement,Contractor - 3rd Party,Unknown,37993,5.4,3,794.9513761805414
test_21,Los Angeles,34.156885,-117.841571,T,Telecommunications,line,Steel (ST),PP,"Trencher, ditchwitch, rockwheel, similar equipment (TR)",Public City Street,Contractor - 3rd Party,Utility Owner,24267,17.01,7,750.6089471781743
test_22,Los Angeles,34.140822,-118.392864,T,Electric,main,Steel (ST),PP,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Public City Street,Municipality,Utility Owner,39601,13.04,4,918.7944174527693
test_23,Los Angeles,34.402506,-118.36342,T,Water Pipeline,line,Polyethylene (PE),PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Contract Locator,43445,56.02,4,765.3034897580234
test_24,Orange,33.808266,-117.923655,T,Cable Television,line,Plastic,MPL,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Public City Street,Contractor - 3rd Party,Utility Owner,58737,7.45,3,819.3727440626473
test_25,Los Angeles,34.13658,-118.245839,T,Sewer (Sanitary/Storm),line,Plastic,PP,"Grader/Scraper including graders, scrapers, bobcats, skiploaders, similar equipment (GR)",Public Other,Utility,Utility Owner,43019,5.61,3,585.0855769942871
test_26,Riverside,33.923381,-117.244836,T,Sewer (Sanitary/Storm),line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Occupant,Unknown,85108,20.32,2,639.211347391533
test_27,Los Angeles,34.078294,-118.185785,T,Water Pipeline,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Utility Owner,53491,7.83,2,951.4643307697947
test_28,San Bernardino,34.186053,-116.432376,T,Water Pipeline,main,Plastic,PPE,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Private Other,Utility,Utility Owner,21110,139.66,4,524.9537761898225
test_29,Ventura,34.530199,-119.310133,T,Pole,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Other,Contractor - 3rd Party,Unknown,30369,287.87,2,634.6120503396262
test_30,Riverside,33.753959,-116.24648700000002,T,Grading,valve,Plastic,PPE,"Grader/Scraper including graders, scrapers, bobcats, skiploaders, similar equipment (GR)",Private Land Owner,Contractor - 3rd Party,Utility Owner,33762,25.64,2,770.7308690335917
test_31,Orange,33.927561,-117.887086,T,Drainage,valve,Plastic,PLM,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Private Land Owner,Contractor - 3rd Party,Utility Owner,26777,15.67,2,977.076320315938
test_32,Riverside,33.923381,-117.244836,T,Irrigation,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Utility Owner,96968,10.82,2,851.5312837053953
test_33,San Bernardino,34.072336,-117.698309,T,Unknown/Other,line,Plastic,PPE,"Miscellaneous/Other including items not specifically mentioned in picklist and all powered hand tools (jackhammer, electric saw, etc.) (MO)",Private Unknown,Municipality,Unknown,51488,10.19,2,819.6016703529029
test_34,Orange,33.595058,-117.829131,T,Landscaping,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Utility Owner,17456,6.39,3,
test_35,Rverside,33.827409,-117.524128,T,Electric,valve,Plastic,PPE,"Miscellaneous/Other including items not specifically mentioned in picklist and all powered hand tools (jackhammer, electric saw, etc.) (MO)",Unknown\Other,Contractor - 3rd Party,Other,38107,39.09,2,923.0449416000827
test_36,Los Angeles,33.753134,-118.367973,T,Electric,line,Steel (ST),PLM,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Private Land Owner,Occupant,Other,40790,16.14,7,
test_37,Los Angeles,34.092566999999995,-118.53436299999998,T,Bldg. Demolition,line,Plastic,PPE,"Grader/Scraper including graders, scrapers, bobcats, skiploaders, similar equipment (GR)",Private Land Owner,Contractor - 3rd Party,Utility Owner,18629,23.91,2,952.3417643123075
test_38,Los Angeles,34.072925,-118.372711,T,Water Pipeline,main,Steel (ST),PP,"Miscellaneous/Other including items not specifically mentioned in picklist and all powered hand tools (jackhammer, electric saw, etc.) (MO)",Public City Street,Contractor - 3rd Party,Utility Owner,17908,3.4,1,696.5376752453124
test_39,Riverside,33.652678,-117.173567,T,Landscaping,line,Plastic,PPE,Auger (AG),Private Business,Contractor - 3rd Party,Utility Owner,45532,44.36,4,878.5210535152266
test_40,Orange,33.72524,-118.051579,T,Fencing,line,Plastic,PPE,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Unknown,51060,10.7,2,518.8996886967624
test_41,San Diego,32.747415999999994,-117.166881,TG,Natural Gas Pipeline,line,PE,MPL,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Public City Street,Contractor - 3rd Party,Contract Locator,41611,13.79,2,
test_42,Santa Barbara,34.595669,-120.352667,T,Landscaping,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Occupant,Other,53447,249.54,2,975.7394942698417
test_43,San Diego,33.117090999999995,-117.180712,TG,Electric,main,PE,,Not Available,Private Unknown,Contractor - 3rd Party,Unknown,59458,17.57,4,1017.9649591426886
test_44,Los Angeles,34.028331,-118.35433799999998,T,Water Pipeline,line,Plastic,MPL,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Public City Street,Contractor - 3rd Party,Contract Locator,45440,4.07,2,620.8393434092011
test_45,Orange,33.668173,-117.734156,T,Irrigation,line,Plastic,PPE,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Private Land Owner,Contractor - 3rd Party,Unknown,51012,31.44,2,856.5339231177762
test_46,Los Angeles,34.080017,-118.262643,T,Bldg. Construction,line,Plastic,PLM,"Miscellaneous/Other including items not specifically mentioned in picklist and all powered hand tools (jackhammer, electric saw, etc.) (MO)",Private Land Owner,Contractor - 3rd Party,Utility Owner,65377,6.77,2,415.14112958356026
test_47,San Luis Obispo,35.176010999999995,-120.476757,T,Water Pipeline,line,Polyethylene (PE),MPL,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Public City Street,Contractor - 3rd Party,Utility Owner,24444,148.35,2,830.6925391540867
test_48,San Diego,32.786772,-117.234207,TG,Sewer (Sanitary/Storm),supply,PE,PL,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Public City Street,Contractor - 3rd Party,Contract Locator,36245,10.04,2,
test_49,Tulare,35.988087,-118.860221,T,Water Pipeline,line,Plastic,MPL,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Public City Street,Contractor - 3rd Party,Utility Owner,58419,430.33,2,663.8193230935599
test_50,Ventura,34.258405,-118.775026,T,Electric,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Unknown\Other,Occupant,Utility Owner,59615,28.2,2,
test_51,San Diego,33.25462,-117.283311,TG,Curb/Sidewalk,line,PE,CF,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Private Land Owner,Contractor - 3rd Party,Unknown,81388,11.75,3,
test_52,Riverside,33.925519,-117.551958,T,Water Pipeline,line,Plastic,PPE,"Grader/Scraper including graders, scrapers, bobcats, skiploaders, similar equipment (GR)",Unknown\Other,Contractor - 3rd Party,Unknown,37142,21.24,2,1052.3433356656867
test_53,Los Angeles,34.09383,-118.381698,T,Cable Television,line,Steel (ST),MPL,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Public City Street,Contractor - 3rd Party,Utility Owner,26814,7.34,8,818.2190009812346
test_54,San Luis Obispo,35.585,-121.041474,T,Site Development,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Utility Owner,12703,72.87,2,
test_55,Riverside,33.936319,-117.493743,T,Water Pipeline,main,Plastic,PP,"Miscellaneous/Other including items not specifically mentioned in picklist and all powered hand tools (jackhammer, electric saw, etc.) (MO)",Public City Street,Company,Utility Owner,77989,12.81,4,630.0153813903969
test_56,Los Angeles,34.089848,-118.294661,T,Sewer (Sanitary/Storm),line,Plastic,MPL,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Public City Street,Contractor - 3rd Party,Utility Owner,43104,5.37,2,480.58514096892884
test_57,Los Angeles,34.078573,-118.043456,T,Water Pipeline,line,Plastic,PLM,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Public City Street,Municipality,Utility Owner,40126,9.75,2,693.8643371304593
test_58,San Bernardino,34.147718,-117.464506,T,Unknown/Other,valve,Plastic,PPE,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Unknown,108020,26.42,2,909.4629142270368
